Frequency [Hz];Amplitude [mV];Phase [mV/cyc.];Phase [rad];Std. deviation A [mV];Std. deviation Phase [micro-V/cyc.]
700;56.97;-381.5;;40;135.1
750;90.73;-389.2;;67.11;158
800;221.2;-398.3;;47.36;36.67
810;311.1;-401.3;;75.45;30
820;525.4;-406.5;;29.47;30.9
825;802.4;-412.2;;;
827;1016;-416.5;;;
828;1172;-419.6;;;
829;1384;-423.8;;;
830;1655;-429.8;;92.64;
832;2016;-458.2;;;
833;2104;487;;;
834;2139;360.3;;;
835;2114;234.3;;;
837;1958;154.6;;;
840;1336;125.9;;;
850;486;108.4;;192.6;50.1
900;114.5;95.67;;53.93;831.6
