Zeit,Kanal A,Kanal B
(s),(mV),(V)

0.00000000,0.09155553,-0.01037629
0.13333340,-0.03967406,-0.00854518
0.26666680,-0.49592580,0.00244148
0.40000020,-0.04272591,-0.00793481
0.53333360,0.06714072,-0.00427259
0.66666700,-0.48829610,-0.05920591
0.80000040,-0.12054810,-0.00915555
0.93333380,0.12512590,-0.00854518
1.06666720,-0.48066650,-0.00732444
1.20000060,-0.19379250,0.01831111
1.33333400,0.18005920,0.02685629
1.46666740,-0.40437020,-0.01098666
1.60000080,-0.22278510,-0.02258370
1.73333420,0.27924440,-0.00610370
1.86666760,-0.40131840,-0.01342814
2.00000100,-0.32807400,-0.01525925
2.13333440,0.30671100,-0.02136296
2.26666780,-0.40284430,-0.01770074
2.40000120,-0.39674060,-0.00671407
2.53333460,0.40131840,0.02441481
2.66666800,-0.40437020,-0.01403851
2.80000140,-0.44099240,-0.00793481
2.93333480,0.46540730,-0.01709037
3.06666820,-0.40437020,-0.01037629
3.20000160,10.07874000,-0.01159703
3.33333500,10.79287000,-0.00366222
3.46666840,10.48769000,-0.01281777
3.60000180,10.09400000,-0.00732444
3.73333520,10.80508000,-0.01342814
3.86666860,10.55483000,-0.01220740
4.00000200,10.13672000,-0.01648000
4.13333540,10.78066000,-0.00854518
4.26666880,10.62197000,-0.01342814
4.40000220,10.16724000,-0.01342814
4.53333560,10.76083000,-0.00793481
4.66666900,10.68148000,-0.01159703
4.80000240,10.21302000,-0.00854518
4.93333580,10.66317000,-0.01648000
5.06666920,10.72268000,-0.03784295
5.20000260,10.36409000,-0.00244148
5.33333600,10.57314000,-0.01525925
5.46666940,10.73946000,-0.00915555
5.60000280,10.52889000,-0.00915555
5.73333620,10.48006000,-0.01648000
5.86666960,10.78524000,-0.01281777
6.00000300,10.55330000,0.03173925
6.13333640,10.37629000,-0.00732444
6.26666979,10.80966000,-0.00549333
6.40000319,10.53499000,-0.00732444
6.53333659,10.28169000,-0.01586962
6.66666999,10.79592000,-0.00793481
6.80000339,10.55330000,-0.01098666
6.93333679,10.21455000,-0.00366222
7.06667019,10.89358000,-0.00671407
7.20000359,10.53957000,-0.00366222
7.33333699,10.21455000,-0.00732444
7.46667039,10.92410000,-0.00305185
7.60000379,10.52889000,-0.00122074
7.73333719,10.16419000,-0.00793481
7.86667059,10.86612000,-0.00549333
8.00000399,10.54109000,-0.00671407
8.13333739,10.13520000,-0.01403851
8.26667079,10.82339000,-0.00244148
8.40000419,10.51210000,0.00610370
8.53333759,10.12452000,-0.01220740
8.66667099,10.79440000,-0.00854518
8.80000439,10.52889000,-0.01159703
8.93333779,10.08484000,-0.00244148
9.06667119,10.79592000,-0.01281777
9.20000459,10.56551000,-0.00122074
9.33333799,10.10315000,-0.00732444
