Zeit,Kanal A,Kanal B
(s),(mV),(V)

0.00000000,10.95920000,-0.01098666
0.13333340,10.31983000,-0.01159703
0.26666680,10.49074000,-0.00793481
0.40000020,10.98209000,-0.01098666
0.53333360,10.30305000,-0.00854518
0.66666700,10.49532000,-0.01220740
0.80000040,10.97598000,-0.00915555
0.93333380,10.29389000,-0.00915555
1.06666720,10.52278000,-0.01159703
1.20000060,10.96530000,-0.01037629
1.33333400,10.32289000,-0.00915555
1.46666740,10.52889000,-0.00793481
1.60000080,10.97293000,-0.00793481
1.73333420,10.27100000,-0.00915555
1.86666760,10.54872000,-0.00793481
2.00000100,10.97293000,-0.01098666
2.13333440,10.28321000,-0.00793481
2.26666780,10.58382000,-0.01098666
2.40000120,10.93020000,-0.01037629
2.53333460,10.26948000,-0.01098666
2.66666800,10.60518000,-0.00549333
2.80000140,10.91342000,-0.01220740
2.93333480,10.25422000,-0.01159703
3.06666820,10.63570000,-0.00793481
3.20000160,10.86764000,-0.01220740
3.33333500,10.26032000,-0.01220740
3.46666840,10.64180000,-0.00793481
3.60000180,10.84170000,-0.01342814
3.73333520,10.24964000,-0.01159703
3.86666860,10.64180000,-0.00915555
4.00000200,10.80508000,-0.01159703
4.13333540,10.24201000,-0.00793481
4.26666880,10.65554000,-0.00793481
4.40000220,10.81271000,-0.00854518
4.53333560,10.23133000,-0.00915555
4.66666900,10.70131000,-0.01220740
4.80000240,10.81271000,-0.01037629
4.93333580,10.22523000,-0.00732444
5.06666920,10.67080000,-0.00915555
5.20000260,10.80050000,-0.01098666
5.33333600,10.21760000,-0.01037629
5.46666940,10.69369000,-0.01342814
5.60000280,10.79440000,-0.01037629
5.73333620,10.21149000,-0.00427259
5.86666960,10.68758000,-0.01098666
6.00000300,10.80508000,-0.01220740
6.13333640,10.21455000,-0.00732444
6.26666979,10.72573000,-0.01037629
6.40000319,10.76235000,-0.01159703
6.53333659,10.19623000,-0.00854518
6.66666999,10.69063000,-0.01159703
6.80000339,10.76846000,-0.01098666
6.93333679,10.19776000,-0.00854518
7.06667019,10.72726000,-0.01220740
7.20000359,10.77303000,-0.01159703
7.33333699,10.17487000,-0.00854518
7.46667039,10.72726000,-0.01342814
7.60000379,10.75167000,-0.01098666
7.73333719,10.19471000,-0.00732444
7.86667059,10.74862000,-0.00915555
8.00000399,10.73794000,-0.01037629
8.13333739,10.16266000,-0.00671407
8.26667079,10.75014000,-0.01098666
8.40000419,10.71810000,-0.01098666
8.53333759,10.17182000,-0.00427259
8.66667099,10.74099000,-0.00732444
8.80000439,10.70742000,-0.01098666
8.93333779,10.16572000,-0.01037629
9.06667119,10.75167000,-0.01037629
9.20000459,10.69063000,-0.00793481
9.33333799,10.14283000,-0.00793481
