Zeit,Kanal A,Kanal B
(s),(mV),(V)

0.00000000,11.43376000,-0.01159703
0.13333340,11.14689000,-0.00366222
0.26666680,10.86306000,-0.00122074
0.40000020,11.41545000,0.01281777
0.53333360,11.16062000,-0.00671407
0.66666700,10.84017000,-0.01037629
0.80000040,11.33152000,-0.00854518
0.93333380,11.12400000,-0.01281777
1.06666720,10.86764000,-0.01220740
1.20000060,11.30100000,-0.00793481
1.33333400,11.11484000,-0.00427259
1.46666740,10.85391000,-0.00793481
1.60000080,11.32389000,-0.00732444
1.73333420,11.11332000,0.00610370
1.86666760,10.86306000,-0.00610370
2.00000100,11.31474000,-0.00427259
2.13333440,11.07059000,-0.00610370
2.26666780,10.84323000,-0.01098666
2.40000120,11.28880000,0.00122074
2.53333460,11.09348000,-0.00854518
2.66666800,10.91647000,-0.01098666
2.80000140,11.26438000,-0.00915555
2.93333480,11.06448000,-0.00732444
3.06666820,10.90579000,-0.00183111
3.20000160,11.27659000,-0.01159703
3.33333500,11.02939000,-0.00122074
3.46666840,10.89206000,-0.01892148
3.60000180,11.24607000,-0.01098666
3.73333520,10.99582000,-0.01098666
3.86666860,10.93326000,-0.02258370
4.00000200,11.19877000,-0.01098666
4.13333540,10.95615000,-0.00854518
4.26666880,10.96835000,-0.00854518
4.40000220,11.17435000,-0.02990814
4.53333560,10.91189000,-0.00915555
4.66666900,10.98209000,-0.01525925
4.80000240,11.19114000,-0.00854518
4.93333580,10.88900000,-0.01342814
5.06666920,10.98209000,-0.01220740
5.20000260,11.17283000,-0.01098666
5.33333600,10.79440000,-0.00427259
5.46666940,11.02481000,-0.00915555
5.60000280,11.15604000,-0.01159703
5.73333620,10.74099000,-0.01159703
5.86666960,11.05380000,-0.01281777
6.00000300,11.13315000,-0.01159703
6.13333640,10.73794000,-0.01648000
6.26666979,11.05991000,-0.00671407
6.40000319,11.09195000,-0.01159703
6.53333659,10.66927000,-0.02136296
6.66666999,11.07974000,-0.00854518
6.80000339,11.07822000,-0.00915555
6.93333679,10.60060000,-0.01098666
7.06667019,11.07974000,0.00671407
7.20000359,11.06754000,-0.00793481
7.33333699,10.57009000,-0.00854518
7.46667039,11.10569000,-0.01159703
7.60000379,11.02328000,-0.01098666
7.73333719,10.58992000,-0.00671407
7.86667059,11.10111000,-0.01770074
8.00000399,11.03397000,-0.01037629
8.13333739,10.53652000,-0.01098666
8.26667079,11.10569000,-0.00549333
8.40000419,11.01871000,-0.00793481
8.53333759,10.51515000,-0.00671407
8.66667099,11.10111000,-0.00427259
8.80000439,10.96530000,-0.01525925
8.93333779,10.46175000,0.03051851
9.06667119,11.07974000,-0.01342814
9.20000459,10.95920000,-0.01281777
9.33333799,10.47548000,-0.00549333
